NAME,LOG,CORE,MYC_TARGETS_V2,MYOGENESIS,INTERFERON_ALPHA_RESPONSE,PROTEIN_SECRETION,UNFOLDED_PROTEIN_RESPONSE,COAGULATION,DNA_REPAIR,UV_RESPONSE_UP,APOPTOSIS,ALLOGRAFT_REJECTION,MYC_TARGETS_V1,G2M_CHECKPOINT,OXIDATIVE_PHOSPHORYLATION,EPITHELIAL_MESENCHYMAL_TRANSITION,GLYCOLYSIS,INTERFERON_GAMMA_RESPONSE,MITOTIC_SPINDLE,E2F_TARGETS,MTORC1_SIGNALING,COMPLEMENT,KRAS_SIGNALING_DN,REACTIVE_OXYGEN_SPECIES_PATHWAY,ESTROGEN_RESPONSE_EARLY,IL6_JAK_STAT3_SIGNALING,PI3K_AKT_MTOR_SIGNALING,ESTROGEN_RESPONSE_LATE,IL2_STAT5_SIGNALING,ADIPOGENESIS,INFLAMMATORY_RESPONSE,KRAS_SIGNALING_UP,SPERMATOGENESIS,TNFA_SIGNALING_VIA_NFKB,FATTY_ACID_METABOLISM,P53_PATHWAY
SDC4,-2.0116852063282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MET,2.43741216276504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
KLF8,-5.28310194644163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMP4,-2.18788714238584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SND1,2.00587148821418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HJURP,2.58989479331833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEBPA,-3.87148487778091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KLF5,-5.42361580246371,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WNT4,-3.09367704296163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAG2,-2.14551193412154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TIMD4,2.29423474026521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GZMB,5.25186187355577,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FN1,3.48009013449736,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
